0, 1635070083003696, 1635070083003749, 53
1, 1635070083022952, 1635070083023111, 159
2, 1635070083038162, 1635070083038179, 17
3, 1635070083053063, 1635070083053081, 18
4, 1635070083068826, 1635070083068847, 21
5, 1635070083083783, 1635070083083800, 17
6, 1635070083098798, 1635070083098817, 19
7, 1635070083113821, 1635070083113837, 16
8, 1635070083129730, 1635070083129755, 25
9, 1635070083144824, 1635070083144844, 20
10, 1635070083163096, 1635070083163118, 22
11, 1635070083177920, 1635070083177936, 16
12, 1635070083192751, 1635070083192772, 21
13, 1635070083207651, 1635070083207672, 21
14, 1635070083222584, 1635070083222601, 17
15, 1635070083237554, 1635070083237575, 21
16, 1635070083252538, 1635070083252559, 21
17, 1635070083268409, 1635070083268426, 17
18, 1635070083283537, 1635070083283554, 17
19, 1635070083299486, 1635070083299502, 16
20, 1635070083317843, 1635070083317864, 21
21, 1635070083332727, 1635070083332744, 17
22, 1635070083347679, 1635070083347696, 17
23, 1635070083362637, 1635070083362656, 19
24, 1635070083378501, 1635070083378519, 18
25, 1635070083394278, 1635070083394294, 16
26, 1635070083409235, 1635070083409252, 17
27, 1635070083425080, 1635070083425096, 16
28, 1635070083440967, 1635070083440983, 16
29, 1635070083456867, 1635070083456887, 20
30, 1635070083475117, 1635070083475136, 19
31, 1635070083489896, 1635070083489917, 21
32, 1635070083504738, 1635070083504754, 16
33, 1635070083519626, 1635070083519643, 17
34, 1635070083534535, 1635070083534552, 17
35, 1635070083549507, 1635070083549524, 17
36, 1635070083564493, 1635070083564510, 17
37, 1635070083579545, 1635070083579565, 20
38, 1635070083594601, 1635070083594618, 17
39, 1635070083609724, 1635070083609740, 16
40, 1635070083628038, 1635070083628055, 17
41, 1635070083642861, 1635070083642881, 20
42, 1635070083657722, 1635070083657739, 17
43, 1635070083672594, 1635070083672610, 16
44, 1635070083688359, 1635070083688376, 17
45, 1635070083704130, 1635070083704147, 17
46, 1635070083719147, 1635070083719164, 17
47, 1635070083734192, 1635070083734209, 17
48, 1635070083749249, 1635070083749268, 19
49, 1635070083764371, 1635070083764417, 46
50, 1635070083783071, 1635070083783093, 22
51, 1635070083798726, 1635070083798746, 20
52, 1635070083813559, 1635070083813578, 19
53, 1635070083828461, 1635070083828481, 20
54, 1635070083843398, 1635070083843415, 17
55, 1635070083858346, 1635070083858366, 20
56, 1635070083873362, 1635070083873382, 20
57, 1635070083888394, 1635070083888410, 16
58, 1635070083901604, 1635070083901621, 17
59, 1635070083917506, 1635070083917525, 19
60, 1635070083936836, 1635070083936854, 18
61, 1635070083950602, 1635070083950621, 19
62, 1635070083966215, 1635070083966291, 76
63, 1635070083981395, 1635070083981484, 89
64, 1635070083996642, 1635070083996702, 60
65, 1635070084011557, 1635070084011619, 62
66, 1635070084026483, 1635070084026544, 61
67, 1635070084041477, 1635070084041538, 61
68, 1635070084056496, 1635070084056557, 61
69, 1635070084071934, 1635070084071995, 61
70, 1635070084087058, 1635070084087119, 61
71, 1635070084105368, 1635070084105443, 75
72, 1635070084120208, 1635070084120267, 59
73, 1635070084135039, 1635070084135100, 61
74, 1635070084149937, 1635070084149999, 62
75, 1635070084164876, 1635070084164937, 61
76, 1635070084179853, 1635070084179913, 60
77, 1635070084195183, 1635070084195244, 61
78, 1635070084210231, 1635070084210293, 62
79, 1635070084225669, 1635070084225730, 61
80, 1635070084240766, 1635070084240826, 60
81, 1635070084259105, 1635070084259166, 61
82, 1635070084274251, 1635070084274311, 60
83, 1635070084289111, 1635070084289171, 60
84, 1635070084303985, 1635070084304045, 60
85, 1635070084318921, 1635070084318982, 61
86, 1635070084333865, 1635070084333925, 60
87, 1635070084348881, 1635070084348942, 61
88, 1635070084363928, 1635070084363989, 61
89, 1635070084378983, 1635070084379043, 60
90, 1635070084394453, 1635070084394515, 62
91, 1635070084412764, 1635070084412825, 61
92, 1635070084427592, 1635070084427653, 61
93, 1635070084442426, 1635070084442488, 62
94, 1635070084457360, 1635070084457436, 76
95, 1635070084472374, 1635070084472435, 61
96, 1635070084498424, 1635070084498486, 62
97, 1635070084513767, 1635070084513833, 66
98, 1635070084529975, 1635070084530033, 58
99, 1635070084545341, 1635070084545414, 73
100, 1635070084561267, 1635070084561391, 124
101, 1635070084580619, 1635070084580777, 158
102, 1635070084596503, 1635070084596841, 338
103, 1635070084612144, 1635070084612162, 18
104, 1635070084626151, 1635070084626168, 17
105, 1635070084640125, 1635070084640142, 17
106, 1635070084653366, 1635070084653387, 21
107, 1635070084668613, 1635070084668632, 19
108, 1635070084683846, 1635070084683985, 139
109, 1635070084699142, 1635070084699206, 64
110, 1635070084714454, 1635070084714515, 61
111, 1635070084730360, 1635070084730423, 63
112, 1635070084749673, 1635070084749746, 73
113, 1635070084762811, 1635070084762870, 59
114, 1635070084777636, 1635070084777697, 61
115, 1635070084793311, 1635070084793438, 127
116, 1635070084809259, 1635070084809279, 20
117, 1635070084825249, 1635070084825268, 19
118, 1635070084841254, 1635070084841390, 136
119, 1635070084856553, 1635070084856616, 63
120, 1635070084871862, 1635070084871924, 62
121, 1635070084887261, 1635070084887321, 60
122, 1635070084903419, 1635070084903480, 61
123, 1635070084922567, 1635070084922628, 61
