53297	1
101695484	1
199533635	0
202232861	1
292941134	0
302920143	1
382535909	0
403352415	1
469038845	0
503767887	1
554000471	0
604175662	1
638994305	0
704618046	1
725490937	0
805039022	1
814934110	0
905550399	1
908251321	0
1006044762	0
1106278225	1
1109013355	0
1206690697	1
1216759290	0
1307405267	1
1328318573	0
1407868540	1
1442929070	0
1508587607	1
1559418593	0
1609633077	1
1675329918	0
1710057149	1
1789705917	0
1810556326	1
1901706805	0
1911503096	1
2009343979	0
2011987181	1
2112214193	1
2210064524	0
2212732223	1
2303585799	0
2313335249	1
2392958008	0
2413790685	1
2479567315	0
2514456608	1
2564780074	0
2615264153	1
2650095237	0
2715745270	1
2736615740	0
2816156497	1
2825929659	0
2916529210	1
2919216909	0
3017045923	0
3117305611	1
3120042607	0
3217760810	1
3227585363	0
3318187800	1
3339056264	0
3419209309	1
3454052094	0
3519700909	1
3569961862	0
3620187902	1
3686522150	0
3721247827	1
3801052555	0
3821828231	1
3912499759	0
3922229717	1
4020027388	0
4022656396	1
4123195458	1
4221380850	0
4228056982	1
4321131980	0
4331084151	1
4410977467	0
4431823428	1
4497468720	0
4532191988	1
4582451423	0
4632623062	1
4667429020	0
4733387732	1
4754215900	0
4833743091	1
4843518152	0
4934082066	1
4936757764	0
